DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ETABLISSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION;NOMBRE DE LOGEMENTS
42082;42082;HÔTEL;3 étoiles;-;-;COMFORT HOTEL GARDEN LILLE TOURCOING;3 avenue Henri Becquerel;59910;BONDUES;320360196;comfort-lille-tourcoing@wanadoo.fr;http://www.escaledesflandres.com;-;120;52;-;-;-
41456;41456;CAMPING;3 étoiles;Loisirs;-;CAMPING LES EVOÏCHES;1 route de Flînes;59870;MARCHIENNES;327904469;contact@camping-evoiches-marchiennes-nord.fr;www.camping-evoiches-marchiennes-nord.fr;-;-;-;150;-;-
42632;42632;HÔTEL;3 étoiles;-;-;HÔTEL LA FERME BLANCHE;9 rue pasteur;59840;LOMPRET;320929912;contact@fermeblanche.fr;www.fermeblanche.fr;-;18;9;-;-;-
41121;41121;HÔTEL;2 étoiles;-;-;L'ALEXANDRA;14 Avenue de la Mer;59820;GRAVELINES;328513000;lalexandrahotel@wanadoo.fr;www.lalexandra-hotel.fr;-;50;11;-;-;-
41060;41149;CAMPING;4 étoiles;Loisirs;-;CAMPING DES DUNES;rue Victor Hugo;59820;GRAVELINES;328230980;tessierjp@campingvpa.fr;http://www.camping-des-dunes.com;-;-;-;283;-;-
41098;41098;HÔTEL;1 étoile;-;-;FASTHOTEL LILLE LESQUIN;2 rue de l'europe;59810;LESQUIN;320876464;lille@fasthotel.com;http://www.fasthotel.com;-;99;48;-;-;-
41094;41094;HÔTEL;1 étoile;-;-;F1 LILLE LESQUIN AÉROPORT;Impasse Jean Jaurès;59810;LESQUIN;891705272;h2276-re@accor.com;http://hotelf1.com;-;267;97;-;-;-
40942;40942;HÔTEL;4 étoiles;-;-;NOVOTEL LILLE AEROPORT;55 Route de Douai;59810;LESQUIN;320625353;h0427-gm@accor.com;http://www.novotel.com;-;276;92;-;-;-
40920;40920;HÔTEL;4 étoiles;-;-;MERCURE LILLE AEROPORT;110 RUE JEAN JAURES;59810;LESQUIN;320874646;h1098-rd@accor.com;www.mercure-lille-aeroport.com;-;2163;215;-;-;-
40879;40879;HÔTEL;3 étoiles;-;-;IBIS STYLES LILLE AÉROPORT;Impasse Jean Jaurès;59810;LESQUIN;328542424;h2855-gm@accor.com;www.accorhotels.com/fr/hotel-2855-ibis-styles-lille-aeroport/index.shtml;-;237;73;-;-;-
42550;42550;HÔTEL;3 étoiles;-;-;HÔTEL IBIS LILLE CENTRE GRAND PALAIS;3 rue des Moulins de Garance;59800;LILLE;320113790;h9309@accor.com;http://www.accorhotels.com/fr/hotel-9309-ibis-lille-centre-grand-palais/index.shtml;-;195;91;-;-;-
42528;42528;HÔTEL;2 étoiles;-;-;HÔTEL VILLA GOUNOD;2 Rue Gounod;59800;LILLE;320313107;contact@villahotelgounod.com;http://www.villahotelgounod.com/;-;20;9;-;-;-
42096;42096;HÔTEL;3 étoiles;-;-;COMFORT HOTEL LILLE EUROPE;53 rue Chrispohe COLOMB ;59800;LILLE;320552155;comfort.lille@lhg-hotels.com;http://www.choicehotels.fr/;-;135;63;-;-;-
41835;41835;HÔTEL;3 étoiles;-;-;HÔTEL IBIS STYLES LILLE CENTRE GRAND PLACE;28 RUE ANATOLE FRANCE;59800;LILLE;320552511;H9420@accor.com;www.ibis.com;-;79;42;-;-;-
41128;41128;HÔTEL;2 étoiles;-;-;BELLE ÉTOILE HÔTEL MISTER BED CITY;passage 57 RUE DE BÉTHUNE;59800;LILLE;320129696;misterbed.lille@hotmail.fr;http://hebergement-lille.net;-;201;115;-;-;-
40914;40914;HÔTEL;2 étoiles;-;-;HÔTEL DU MOULIN D'OR;15 rue du Molinel;59800;LILLE;320061267;hotelmoulindor@orange.fr;http://hotelmoulindor.com;-;28;14;-;-;-
41235;41235;HÔTEL;2 étoiles;-;-;IBIS BUDGET LILLE RONCHIN;104 RUE LOUIS BRAILLE;59790;RONCHIN;892680307;h2581@accor.com;http://www.etaphotel.com;-;162;55;-;-;-
41458;41458;RÉSIDENCE DE TOURISME;3 étoiles;-;-;CITADINES CITY CENTRE LILLE;Avenue Willy Brandt - Euralille;59777;LILLE;328367500;lille@citadines.com;www.citadines.com;-;244;-;-;101;-
