"DATE.DE.CLASSEMENT","DATE.DE.PUBLICATION.DE.L.ETABLISSEMENT","TYPOLOGIE.ÉTABLISSEMENT","CLASSEMENT","CATÉGORIE","MENTION","NOM.COMMERCIAL","ADRESSE","CODE.POSTAL","COMMUNE","TÉLÉPHONE","COURRIEL","SITE.INTERNET","TYPE.DE.SÉJOUR","CAPACITÉ.D.ACCUEIL..PERSONNES.","NOMBRE.DE.CHAMBRES","NOMBRE.D.EMPLACEMENTS","NOMBRE.D.UNITES.D.HABITATION","NOMBRE.DE.LOGEMENTS","X","NOT_LUXE","FLAG_ENSEIGNE","NOM_ENSEIGNE"
"11/10/2016","11/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LA NESTE DE JADE","LIEU-DIT GRAOUES",65170,"VIGNEC","0562394279","nestedejade@gmail.com","http://hotel-delaneste.com","-","62",19,,,,"",TRUE,FALSE,
"11/10/2016","11/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL MICHEL CHABRAN","29 avenue du 45ème Parallèle",26600,"PONT-DE-L'ISÈRE","0475846009","chabran@michelchabran.fr","www.michelchabran.fr","-","19",9,,,,"",FALSE,FALSE,
"11/10/2016","11/10/2016","HÔTEL","4 étoiles","-","-","LE SAINT GELAIS","12 rue du père deval",16000,"ANGOULÊME","0616981394","herve.tisnedessus@gmail.com","http://www.hotel-saint-gelais-angouleme.com/","-","28",12,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","CHÂTEAU DE SAINT PATERNE","4 rue de la Gaieté",72610,"SAINT-PATERNE","0233275471","chateaudesaintpaterne@wanadoo.fr","www.chateau-saintpaterne.com","-","26",11,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL LE VAL LACHARD","chemin des prés",38250,"VILLARD-DE-LANS","33476434806","josette.vaillant@giteduval.fr","www.vallachard.fr","-","19",6,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","AUBERGE DE SAUGRAS","Domaine de Saugras",34380,"ARGELLIERS","0467550871","auberge.saugras@wanadoo.fr","aubergedesaugras.fr","-","14",7,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","BEST WESTERN HÔTEL LE RHENAN","1 CHEMIN DES MOISSONS",67120,"DORLISHEIM","0388205085","reservation@lerhenan-hotel.com","www.lerhenan-hotel.com","-","112",56,,,,"",FALSE,TRUE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL D'EN FARGOU","Côte d'En Fargou ",81370,"SAINT-SULPICE","0676746356","jronco@savethedate-evenements.com","http://www.savethedate-evenements.fr/","-","22",11,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LA CHÊNERAIE","chemin des collines",4800,"GRÉOUX-LES-BAINS","0492781864","contact@hotel-lacheneraie.com","www.hotel-lacheneraie.com","-","44",20,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL PLEIN SOLEIL","ROUTE DU BREC",4260,"ALLOS","0698768413","reservation@hotelpleinsoleil.com","http://www.hotelpleinsoleil.com/","-","44",12,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL IBIS STYLES MOULINS CENTRE","9 Place Jean Moulin",3000,"MOULINS","0470355050","HA0B0@accor.com","http://www.ibis.com/fr/france/discovering-ibis-styles-hotel/index.shtml","-","90",44,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","AUBERGE BRESSANE DE BUELLAS","10 route de Buesle",1310,"BUELLAS","33+0474242020","reservation@auberge-buellas.com","www.auberge-buellas.com","-","29",13,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL BEAULIEU","88 chemin des éboulis",74220,"LA CLUSAZ","0450024348","info@hotel-carlina.com","www.hotel-carlina.com","-","145",56,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL CARLINA","138 chemin des éboulis",74220,"LA CLUSAZ","0450024348","info@hotel-carlina.com","http://www.hotel-carlina.com","-","78",39,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL SAINTE VALÉRIE","13 RUE DE L'ORATOIRE",6160,"JUAN LES PINS","0493610715","saintevalerie@juanlespins.net","http://www.hotel-sainte-valerie.fr/","-","61",24,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL DE LA POSTE","rue du château",64470,"TARDETS-SORHOLUS","0559285130","garcianadine.hoteldelaposte@sfr.fr","http://www.hotel-poste-tardets.com/fr/index.html","-","17",8,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LA SIESTA","1545 RUE DE LA RéPUBLIQUE",7430,"DAVÉZIEUX","0475330790","contact@hotel-la-siesta.eu","http://www.hotel-la-siesta.eu/","-","124",45,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HOTEL B&B DIJON CENTRE","5 RUE DU CHâTEAU",21000,"DIJON","0380302681","bb_4706@hotelbb.com","http://www.hotelbb.com","-","126",60,,,,"",TRUE,TRUE,"B&B"
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","BRAS","ROUTE DE L'AUBRAC",12210,"LAGUIOLE","0565511820","info@bras.fr","http://www.bras.fr","-","26",13,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","LE SQUASH HÔTEL","3 boulevard de la Marne",97200,"FORT-DE-FRANCE","0596728080","direction@squashhotel.com","http://www.karibea.com","-","236",105,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","HÔTELLERIE DU BAS BRÉAU","22 GRANDE RUE",77630,"BARBIZON","0160664005","fava@wanadoo.fr","http://www.bas-breau.com","-","47",20,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL IBIS STYLES NANTES REZÉ AÉROPORT","1 RUE DE L'ILE MACé",44400,"REZÉ","0228071791","h7054@accor.com","http://www.ibis.com/fr/france/index.shtml","-","149",70,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL IBIS BUDGET NANTES REZÉ AÉROPORT","1 RUE DE L'ILE MACé",44400,"REZÉ","0892700852","h7070@accor.com","http://www.accorhotels.com","-","171",70,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","SHERATON PARIS AIRPORT HOTEL & CONFERENCE CENTRE","Aérogare 2, TREMBLAY-en-FRANCE",95716,"ROISSY-EN-FRANCE","0149197070","00125.reservation@sheraton.com","http://www.sheraton.com/parisairport","-","756",252,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","NOVOTEL SUITES MONTPELLIER","45 AVENUE DU Pirée",34000,"MONTPELLIER","0467205757","H6017-GM@accor.com","http://www.novotel.com","-","280",139,,,,"",FALSE,TRUE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LE BOIS JOLI","210 ROUTE DU CHENAY, LA BEUNAZ",74500,"SAINT-PAUL-EN-CHABLAIS","0450736011","info@hotel-bois-joli.fr","www.hotel-bois-joli.fr","-","52",21,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL IBIS SENS","2 AVENUE HENRI DELANNE",89100,"SENS","0386645555","H7367@ACCOR.COM","http://www.ibis.com/fr/france/index.shtml","-","136",68,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL IBIS BUDGET SENS","2 AVENUE HENRI DELANNE",89100,"SENS","0386649090","H7419@ACCOR.COM","http://www.ibis.com/fr/france/index.shtml","-","113",49,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL IBIS BUDGET NÎMES CAISSARGUES","Centre d'activités EURO 2000",30132,"CAISSARGUES","0892683204","H2302-RE@accor.com","http://www.ibisbudget.com","-","189",63,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL DE L'EUROPE","3 RUE CHATEAUGONTIER",49100,"ANGERS","0241886745","hoteldeleurope-angers@wanadoo.fr","http://www.hoteldeleurope-angers.com","-","61",29,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","CASTEL DE TRÈS GIRARD","7 RUE DE TRèS GIRARD",21220,"MOREY-SAINT-DENIS","0380343309","info@castel-tres-girard.com","http://www.castel-tres-girard.com","-","24",8,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL DE CALAIS","1 rue de la Commune de Paris ",76470,"LE TRÉPORT","0227280909","info@hoteldecalais.com","http://hoteldecalais.com","-","108",43,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","LA VILLA PASSAGÈRE","25 avenue du pas des boeufs",17580,"LE BOIS-PLAGE-EN-RÉ","0546002670","contact@hotel-lavillapassagere.fr","http://www.hotel-lavillapassagere.fr","-","29",13,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LE MAS DES CITRONNIERS","22 avenue de la république",66190,"COLLIOURE","0468820482","contact@hotel-mas-des-citronniers.com","http://fr.hotel-mas-des-citronniers.com/","-","67",30,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL B&B MARSEILLE LES PORTS","7 Rue André Allar",13015,"MARSEILLE","0890649712","bb_4590@hotelbb.com","www.hotelbb.com","-","205",90,,,,"",TRUE,TRUE,"B&B"
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL ALCYON","2 BIS RUE DE ROUEN",49400,"SAUMUR","0241675125","contact@alcyon-saumur.com","http://alcyon-saumur.com","-","25",13,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL KYRIAD DOUAI DECHY","ZAC DU LUC ",59187,"DECHY","0359435100","douai.dechy@kyriad.fr","www.kyriad.fr","-","122",61,,,,"",TRUE,TRUE,"KYRIAD"
